,C2.2F1/,,,,,,,,,,,,,,,
,C2.3F1/,,,,,,,,,,,,,,,
,C2.4F1/,,,,,,,,,,,,,,,
,C2.5F1/,,,,,,,,,,,,,,,
,C2.6F1/,,,,,,,,,,,,,,,
,II.2/ KÊNH F2,,,,,,,,,,,,,,,
,C2.1F2/,,,,,,,,,,,,,,,
,C2.2F2/,,,,,,,,,,,,,,,
,C2.3F2/,,,,,,,,,,,,,,,
,C2.4F2/,,,,,,,,,,,,,,,
,C2.5F2/,,,,,,,,,,,,,,,
,C2.6F2/,,,,,,,,,,,,,,,
,III.1/ MARKEITNG F1,,,,,,,,,,,,,,,
,C3.1F1/,,,,,,,,,,,,,,,
,C3.2F1/,,,,,,,,,,,,,,,
,C3.3F1/,,,,,,,,,,,,,,,
,C3.4F1/,,,,,,,,,,,,,,,
,C3.5F1/,,,,,,,,,,,,,,,
,C3.6F1/,,,,,,,,,,,,,,,
,III.1/ MARKEITNG F2,,,,,,,,,,,,,,,
,C3.1F2/,,,,,,,,,,,,,,,
,C3.2F2/,,,,,,,,,,,,,,,
,C3.3F2/,,,,,,,,,,,,,,,
,C3.4F2/,,,,,,,,,,,,,,,
,C3.5F2/,,,,,,,,,,,,,,,
,C3.6F2/,,,,,,,,,,,,,,,
P. TẦNG VẬN HÀNH,,,,,,,,,,,,,,,,
,I. F1,,,,,,,,,,,,,,,
,P1.1.1F,,,,,,,,,,,,,,,
,P1.2.1F,,,,,,,,,,,,,,,
,P1.3.1F,,,,,,,,,,,,,,,
,P1.4.1F,,,,,,,,,,,,,,,
,P1.5.1F,,,,,,,,,,,,,,,
,P1.6.1F,,,,,,,,,,,,,,,
,II. F2,,,,,,,,,,,,,,,
,P2.1.2F,,,,,,,,,,,,,,,
,P2.2.2F,,,,,,,,,,,,,,,
,P2.3.2F,,,,,,,,,,,,,,,
,P2.4.2F,,,,,,,,,,,,,,,
,P2.5.2F,,,,,,,,,,,,,,,
CÁC HẠNG MỤC,,,MỤC ĐÍCH,MỤC TIÊU,CÁCH LÀM,ĐO LƯỜNG,BỘ PHẬN/ NGƯỜI PHỤ TRÁCH,CẦN NGUỒN LỰC GÌ ?,THỜI GIAN ,,CÓ HOÀN THÀNH KHÔNG,ĐÁNH GIÁ,,NGUYÊN NHÂN,CẢI TIẾN/ KHẮC PHỤC/ NÂNG CẤP ,GHI CHÚ
,,,,,,,,,BẮT ĐẦU,KẾT THÚC,,THỰC TẾ THỰC HIỆN,GAP,,,
L. PHÁT TRIỂN,,,,,,,,,,,,,,,,
,I.1/ NĂNG LỰC CÁ NHÂN,,,,,,,,,,,,,,,
,L1.1,,,,,,,,,,,,,,,
,L1.2,,,,,,,,,,,,,,,
,L1.3,,,,,,,,,,,,,,,
,L1.4,,,,,,,,,,,,,,,
,L1.5,,,,,,,,,,,,,,,
,L1.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,II.2/ SỐ LIỆU/ IT,,,,,,,,,,,,,,,
,L2.1,,,,,,,,,,,,,,,
,L2.2,,,,,,,,,,,,,,,
,L2.3,,,,,,,,,,,,,,,
,L2.4,,,,,,,,,,,,,,,
,L2.5,,,,,,,,,,,,,,,
,L2.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,III.1/ NĂNG LỰC QUẢN TRỊ TỔ CHỨC ,,,,,,,,,,,,,,,
,L3.1,,,,,,,,,,,,,,,
,L3.2,,,,,,,,,,,,,,,
,L3.3,,,,,,,,,,,,,,,
,L3.4,,,,,,,,,,,,,,,
,L3.5,,,,,,,,,,,,,,,
,L3.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
